0,-6.03525591,8.19034004
1,-6.03542137,8.19638157
2,-6.02477837,8.20944977
3,-5.98189306,8.24402428
4,-5.65361214,8.51391888
5,-6.23331642,6.87046289
6,3.18004918,-0.34520444
7,1.09225595,1.15740025
8,1.07222390,0.14841124
9,1.27323282,0.29445091
10,0.89721102,0.11009315
11,1.39586902,0.99854422
12,0.94589168,1.20079362
13,1.37624645,1.04395413
14,0.75107902,0.14648169
15,0.47418657,0.35880968
16,-6.03291607,8.19134235
17,-6.02537203,8.20315647
18,-5.98204899,8.24605751
19,-5.65286493,8.51279545
20,-6.22366047,6.87098885
21,3.16952157,-0.35324797
22,0.53309834,1.05185449
23,1.29210746,0.32854423
24,0.52674079,1.03409982
25,1.44624817,0.65558469
26,1.44624865,0.65558434
27,0.82401556,1.19016635
28,0.39054856,0.68565243
29,0.49440062,0.32926291
30,0.39407125,0.70903105
