,0,1
24,-40.91416549682617,-115.47245788574219
30,-77.685546875,-197.08094787597656
1,175.40081787109375,-2.580975294113159
3,-46.25762176513672,25.690671920776367
2,56.68225860595703,-2.4242241382598877
18,189.5744171142578,90.86619567871094
9,-64.40577697753906,50.735591888427734
34,-82.70708465576172,-40.73830795288086
8,118.23419952392578,33.2884407043457
25,1.587820053100586,-155.93077087402344
28,-175.04022216796875,45.90445327758789
21,-114.80349731445312,-96.66539001464844
23,-105.20620727539062,-140.03892517089844
32,-1.2156774997711182,-30.29973793029785
22,174.4660186767578,107.66390991210938
6,164.71339416503906,220.68849182128906
33,-116.37993621826172,1.339137315750122
17,-152.814453125,-215.7742156982422
11,224.55677795410156,177.75381469726562
20,48.69819259643555,61.00752258300781
7,186.9901885986328,222.31040954589844
29,-223.892822265625,11.50529956817627
26,25.281288146972656,-122.23985290527344
10,-201.37852478027344,37.759666442871094
4,96.48749542236328,25.894912719726562
14,14.01121711730957,63.01025390625
19,-102.42964935302734,-162.30142211914062
13,221.31802368164062,114.28958892822266
5,210.52716064453125,193.8806610107422
15,-90.66182708740234,-104.04113006591797
31,-192.4962615966797,-37.017364501953125
16,-109.697509765625,-119.57730865478516
12,238.53245544433594,158.1421661376953
27,-177.55191040039062,-127.69889831542969
36,-77.685546875,-197.08094787597656
42,-82.70708465576172,-40.73830795288086
46,-134.36241149902344,-112.06571960449219
37,179.5567169189453,12.408439636230469
41,-50.76240921020508,60.63301086425781
38,-33.1357307434082,34.7371940612793
43,123.785400390625,15.575170516967773
60,17.56456184387207,78.37690734863281
64,-80.73786926269531,-148.7178192138672
51,-124.28657531738281,-11.483729362487793
66,-126.3438720703125,-156.822265625
47,-84.88263702392578,-126.2370376586914
59,102.25616455078125,8.284599304199219
40,185.76773071289062,127.42367553710938
56,-212.4104766845703,-1.7082011699676514
48,-1.2156774997711182,-30.29973793029785
35,-43.12808609008789,-99.3324203491211
49,197.4561767578125,110.7751235961914
44,14.008604049682617,-165.24362182617188
58,-192.392578125,22.14751434326172
68,-172.41427612304688,-143.88232421875
63,231.99693298339844,198.83006286621094
53,204.78128051757812,171.05455017089844
39,64.3318099975586,-15.724431991577148
65,-178.94032287597656,-29.74968719482422
45,-167.76353454589844,30.441301345825195
50,159.29830932617188,198.56658935546875
61,-129.13473510742188,-134.3730926513672
62,217.73892211914062,93.84977722167969
54,48.69819259643555,61.00752258300781
67,250.36227416992188,176.7864532470703
57,37.563175201416016,-131.8590545654297
55,180.39891052246094,200.92361450195312
52,-139.92227172851562,-224.5303192138672
