,0,1
24,0.03813891485333443,-3.5089921951293945
30,0.12742313742637634,-3.6874823570251465
1,1.7991513013839722,-1.915610671043396
3,0.9690555334091187,-2.7079906463623047
2,1.4764595031738281,-2.2289786338806152
18,1.5189673900604248,-2.255068302154541
9,0.8225253224372864,-3.0977704524993896
34,-0.15139484405517578,-3.687549352645874
8,1.4681645631790161,-2.3020975589752197
25,0.2341233342885971,-3.110872268676758
28,0.21537050604820251,-3.1441385746002197
21,0.3167816996574402,-3.694230318069458
23,0.319469153881073,-3.6743099689483643
32,0.29256942868232727,-3.047297477722168
22,1.6575802564620972,-2.1299359798431396
6,2.182668447494507,-1.4725900888442993
33,-0.045628443360328674,-3.6809463500976562
17,2.2718987464904785,-1.375573992729187
11,2.1304922103881836,-1.5390846729278564
20,1.1496906280517578,-2.731450319290161
7,2.1406021118164062,-1.52263343334198
29,0.42256540060043335,-3.102667808532715
26,0.11111275851726532,-3.1654369831085205
10,0.7643258571624756,-3.2942006587982178
4,1.333844542503357,-2.4314560890197754
14,1.1951229572296143,-2.5713260173797607
19,0.6552179455757141,-3.5134382247924805
13,1.5722101926803589,-2.222651243209839
5,2.1023476123809814,-1.5747575759887695
15,0.6498333811759949,-3.55492901802063
31,0.5939692854881287,-3.1784420013427734
16,0.5837916731834412,-3.5821757316589355
12,1.7599178552627563,-1.9898898601531982
27,0.5748035311698914,-3.5947787761688232
36,7.379930019378662,4.1912431716918945
42,7.409862518310547,4.491329193115234
46,7.1004486083984375,3.824920892715454
37,5.163008689880371,2.686101198196411
41,6.48993444442749,3.614614486694336
38,6.002068519592285,3.3897314071655273
43,5.717452526092529,3.068479061126709
60,5.7123823165893555,3.1974363327026367
64,6.899959087371826,3.8117003440856934
51,7.388723373413086,4.447509765625
66,7.209427356719971,3.85026478767395
47,7.328109264373779,4.014902591705322
59,5.456575393676758,3.033607006072998
40,5.864469051361084,2.884382724761963
56,6.7856550216674805,4.108590126037598
48,6.929756164550781,4.399017333984375
35,7.109669208526611,4.362735271453857
49,5.622236251831055,2.9513068199157715
44,6.9278082847595215,4.327891826629639
58,6.692385196685791,3.799072504043579
68,7.37752103805542,4.065550327301025
63,5.145522117614746,2.6400961875915527
53,5.247134208679199,2.6776740550994873
39,5.540886402130127,3.154168128967285
65,6.906591892242432,3.836534023284912
45,6.972874164581299,4.368466854095459
50,5.189991474151611,2.687041759490967
61,7.333156108856201,4.031327724456787
62,5.751138687133789,2.970717191696167
54,6.111810684204102,3.2749409675598145
67,5.683542251586914,2.7681167125701904
57,6.906594753265381,4.325390338897705
55,5.042817115783691,2.5857925415039062
52,5.172516345977783,2.6094372272491455
